0,painting_index,img_src,painting_title,season,episode,num_colors,youtube_src,colors,color_hex,Black_Gesso,Bright_Red,Burnt_Umber,Cadmium_Yellow,Dark_Sienna,Indian_Red,Indian_Yellow,Liquid_Black,Liquid_Clear,Midnight_Black,Phthalo_Blue,Phthalo_Green,Prussian_Blue,Sap_Green,Titanium_White,Van_Dyke_Brown,Yellow_Ochre,Alizarin_Crimson
251,34,https://www.twoinchbrush.com/images/painting34.png,Hazy_Day,20,4,11,https://www.youtube.com/embed/5U3G61r35Mc,"['Alizarin_Crimson','Bright_Red','Cadmium_Yellow','Dark_Sienna','Indian_Yellow','Midnight_Black\r\n\r\n','Phthalo_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#FFEC00','#5F2E1F','#FFB800','#000000','#0C0040','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1
252,35,https://www.twoinchbrush.com/images/painting35.png,Divine_Elegance,20,5,12,https://www.youtube.com/embed/mb-Gwx1S5Gs,"['Alizarin_Crimson','Cadmium_Yellow','Dark_Sienna','Indian_Yellow','Midnight_Black\r\n\r\n','Phthalo_Blue','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#FFEC00','#5F2E1F','#FFB800','#000000','#0C0040','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1
253,36,https://www.twoinchbrush.com/images/painting36.png,Cliffside,20,6,12,https://www.youtube.com/embed/p6Uy2qOLvGk,"['Alizarin_Crimson','Black_Gesso','Bright_Red','Cadmium_Yellow','Dark_Sienna','Indian_Yellow','Midnight_Black\r\n\r\n','Phthalo_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#000000','#DB0000','#FFEC00','#5F2E1F','#FFB800','#000000','#0C0040','#0A3410','#FFFFFF','#221B15','#C79B00']",1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1
254,37,https://www.twoinchbrush.com/images/painting37.png,Autumn_Fantasy,20,7,11,https://www.youtube.com/embed/FozIp7Va7dY,"['Alizarin_Crimson','Bright_Red','Cadmium_Yellow','Dark_Sienna','Indian_Yellow','Midnight_Black\r\n\r\n','Phthalo_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#FFEC00','#5F2E1F','#FFB800','#000000','#0C0040','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1
255,38,https://www.twoinchbrush.com/images/painting38.png,The_Old_Oak_Tree,20,8,13,https://www.youtube.com/embed/dN4HjAn8p5U,"['Alizarin_Crimson','Black_Gesso','Bright_Red','Cadmium_Yellow','Dark_Sienna','Indian_Yellow','Liquid_Clear','Midnight_Black\r\n\r\n','Phthalo_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#000000','#DB0000','#FFEC00','#5F2E1F','#FFB800','#FFFFFF','#000000','#0C0040','#0A3410','#FFFFFF','#221B15','#C79B00']",1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1
256,39,https://www.twoinchbrush.com/images/painting39.png,Winter_Paradise,20,9,6,https://www.youtube.com/embed/DY1aBv8Z1SQ,"['Alizarin_Crimson','Dark_Sienna','Midnight_Black\r\n\r\n','Phthalo_Blue','Prussian_Blue','Titanium_White']","['#4E1500','#5F2E1F','#000000','#0C0040','#021E44','#FFFFFF']",0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1
257,40,https://www.twoinchbrush.com/images/painting40.png,Days_Gone_By,20,10,12,https://www.youtube.com/embed/DmYhNHVIdMI,"['Alizarin_Crimson','Bright_Red','Cadmium_Yellow','Dark_Sienna','Indian_Yellow','Midnight_Black\r\n\r\n','Phthalo_Blue','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#FFEC00','#5F2E1F','#FFB800','#000000','#0C0040','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1
258,41,https://www.twoinchbrush.com/images/painting41.png,Change_of_Seasons,20,11,12,https://www.youtube.com/embed/QbgPu5f2Vf8,"['Alizarin_Crimson','Bright_Red','Cadmium_Yellow','Dark_Sienna','Indian_Yellow','Midnight_Black\r\n\r\n','Phthalo_Blue','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#FFEC00','#5F2E1F','#FFB800','#000000','#0C0040','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1
259,42,https://www.twoinchbrush.com/images/painting42.png,Hidden_Delight,20,12,11,https://www.youtube.com/embed/ZyPNzDaaDt8,"['Alizarin_Crimson','Bright_Red','Cadmium_Yellow','Dark_Sienna','Indian_Yellow','Midnight_Black\r\n\r\n','Phthalo_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#FFEC00','#5F2E1F','#FFB800','#000000','#0C0040','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1
260,43,https://www.twoinchbrush.com/images/painting43.png,Double_Take,20,13,13,https://www.youtube.com/embed/ppzFgG2K2k4,"['Alizarin_Crimson','Bright_Red','Cadmium_Yellow','Dark_Sienna','Indian_Yellow','Midnight_Black\r\n\r\n','Phthalo_Blue','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#FFEC00','#5F2E1F','#FFB800','#000000','#0C0040','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1
