painting_id,img_src,painting_title,season,episode,num_colors,youtube_src
223,https://www.twoinchbrush.com/images/painting223.png,Arctic_Beauty,6,7,11,https://www.youtube.com/embed/UQ-RTZCOQn0
224,https://www.twoinchbrush.com/images/painting224.png,Horizons_West,6,8,7,https://www.youtube.com/embed/m6UM-rN2D6s
225,https://www.twoinchbrush.com/images/painting225.png,High_Chateau,6,9,11,https://www.youtube.com/embed/dafH8ks9Zww
226,https://www.twoinchbrush.com/images/painting226.png,Country_Life,6,10,10,https://www.youtube.com/embed/j8Jf7QVKLgQ
227,https://www.twoinchbrush.com/images/painting227.png,Western_Expanse,6,11,11,https://www.youtube.com/embed/MTInkV5ODjk
228,https://www.twoinchbrush.com/images/painting228.png,Marshlands,6,12,11,https://www.youtube.com/embed/Ugiwi8uizpg
229,https://www.twoinchbrush.com/images/painting229.png,Blaze_of_Color,6,13,11,https://www.youtube.com/embed/se7wOprxRGs
203,https://www.twoinchbrush.com/images/painting203.png,Winter_Cabin,7,1,6,https://www.youtube.com/embed/kdlHV6ceI_gw
204,https://www.twoinchbrush.com/images/painting204.png,Secluded_Lake,7,2,12,https://www.youtube.com/embed/2OxSJcFvpoU
205,https://www.twoinchbrush.com/images/painting205.png,Evergreens_at_Sunset,7,3,7,https://www.youtube.com/embed/YQPEy3hYGo8
206,https://www.twoinchbrush.com/images/painting206.png,Mountain_Cabin,7,4,12,https://www.youtube.com/embed/E3IAMvO8GyM
208,https://www.twoinchbrush.com/images/painting208.png,Portrait_of_Sally,7,5,8,https://www.youtube.com/embed/MHJB0IBnuD4
209,https://www.twoinchbrush.com/images/painting209.png,Misty_Waterfall,7,6,11,https://www.youtube.com/embed/530_cVmexiI
210,https://www.twoinchbrush.com/images/painting210.png,Barn_at_Sunset,7,7,10,https://www.youtube.com/embed/WT6n0K2zGnA
211,https://www.twoinchbrush.com/images/painting211.png,Mountain_Splendor,7,8,11,https://www.youtube.com/embed/GhOGZMpPUSE
212,https://www.twoinchbrush.com/images/painting212.png,Lake_by_Mountain,7,9,11,https://www.youtube.com/embed/yAiYirlcq7o
213,https://www.twoinchbrush.com/images/painting213.png,Mountain_Glory,7,10,11,https://www.youtube.com/embed/0M9pwLHRR2c
214,https://www.twoinchbrush.com/images/painting214.png,Grey_Winter,7,11,3,https://www.youtube.com/embed/sS-hNYgDUak
