episode,title,painting_id,img_src,num_colors,youtube_src,colors,color_hex,black_gesso,bright_red,burnt_umber,cadmium_yellow,dark_sienna,indian_red,indian_yellow,liquid_black,liquid_clear,midnight_black,phthalo_blue,phthalo_green,prussian_blue,sap_green,titanium_white,van_dyke_brown,yellow_ochre,alizarin_crimson
S02E11,Black Waterfall,279,https://www.twoinchbrush.com/images/painting279.png,12,https://www.youtube.com/embed/GzSqjyQUPZQ,"['Alizarin_Crimson','Black_Gesso','Burnt_Umber','Cadmium_Yellow','Indian_Yellow','Phthalo_Blue','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#000000','#8A3324','#FFEC00','#FFB800','#0C0040','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,
S02E12,Mountain Waterfall,280,https://www.twoinchbrush.com/images/painting280.png,12,https://www.youtube.com/embed/9jIt95PCFAA,"['Alizarin_Crimson','Bright_Red','Burnt_Umber','Cadmium_Yellow','Indian_Yellow','Phthalo_Blue','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#8A3324','#FFEC00','#FFB800','#0C0040','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,
S02E13,Final Grace,281,https://www.twoinchbrush.com/images/painting281.png,12,https://www.youtube.com/embed/miJ19Kz_i3Y,"['Alizarin_Crimson','Bright_Red','Burnt_Umber','Cadmium_Yellow','Indian_Yellow','Phthalo_Blue','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#8A3324','#FFEC00','#FFB800','#0C0040','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,
S03E01,Mountain Retreat,256,https://www.twoinchbrush.com/images/painting256.png,12,https://www.youtube.com/embed/hoimk4s8JoQ,"['Alizarin_Crimson','Bright_Red','Burnt_Umber','Cadmium_Yellow','Indian_Yellow','Phthalo_Blue','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#8A3324','#FFEC00','#FFB800','#0C0040','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,
S03E02,Blue Moon,257,https://www.twoinchbrush.com/images/painting257.png,12,https://www.youtube.com/embed/loit61vLUMc,"['Alizarin_Crimson','Bright_Red','Burnt_Umber','Cadmium_Yellow','Indian_Yellow','Phthalo_Blue','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#8A3324','#FFEC00','#FFB800','#0C0040','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,
S03E03,Bubbling Stream,258,https://www.twoinchbrush.com/images/painting258.png,12,https://www.youtube.com/embed/fuFalEXVN0k,"['Alizarin_Crimson','Bright_Red','Burnt_Umber','Cadmium_Yellow','Indian_Yellow','Phthalo_Blue','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#8A3324','#FFEC00','#FFB800','#0C0040','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,
S03E04,Winter Night,259,https://www.twoinchbrush.com/images/painting259.png,7,https://www.youtube.com/embed/8ysFkNYwhAE,"['Alizarin_Crimson','Bright_Red','Cadmium_Yellow','Liquid_Black','Phthalo_Green\r\n','Titanium_White','Van_Dyke_Brown']","['#4E1500','#DB0000','#FFEC00','#000000','#102E3C','#FFFFFF','#221B15']",0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,
S03E05,Distant Hills,260,https://www.twoinchbrush.com/images/painting260.png,7,https://www.youtube.com/embed/8Zge88tVwjE,"['Alizarin_Crimson','Burnt_Umber','Cadmium_Yellow','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#8A3324','#FFEC00','#0A3410','#FFFFFF','#221B15','#C79B00']",0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,
S03E06,Covered Bridge,261,https://www.twoinchbrush.com/images/painting261.png,10,https://www.youtube.com/embed/OHSm8kLE7js,"['Alizarin_Crimson','Bright_Red','Burnt_Umber','Cadmium_Yellow','Midnight_Black\r\n\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#8A3324','#FFEC00','#000000','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,
S03E07,Quiet Inlet,262,https://www.twoinchbrush.com/images/painting262.png,10,https://www.youtube.com/embed/9N5IWKzYIyU,"['Alizarin_Crimson','Burnt_Umber','Cadmium_Yellow','Phthalo_Blue','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#8A3324','#FFEC00','#0C0040','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,
